account_id,step_name,completed,completed_at
acc_000000,complete_taste_profile,True,2024-02-05 00:00:00
acc_000000,save_first_recipe,True,2024-02-10 00:00:00
acc_000000,create_first_meal_plan,False,
acc_000000,generate_grocery_list,False,
acc_000000,invite_family_member,False,
acc_000001,complete_taste_profile,True,2023-12-08 00:00:00
acc_000001,save_first_recipe,True,2023-12-14 00:00:00
acc_000001,create_first_meal_plan,True,2023-12-14 00:00:00
acc_000001,generate_grocery_list,False,
acc_000001,invite_family_member,True,2023-12-09 00:00:00
acc_000002,complete_taste_profile,False,
acc_000002,save_first_recipe,True,2023-05-10 00:00:00
acc_000002,create_first_meal_plan,True,2023-05-02 00:00:00
acc_000002,generate_grocery_list,False,
acc_000002,invite_family_member,False,
acc_000003,complete_taste_profile,True,2023-02-23 00:00:00
acc_000003,save_first_recipe,True,2023-02-23 00:00:00
acc_000003,create_first_meal_plan,False,
acc_000003,generate_grocery_list,False,
acc_000003,invite_family_member,False,
acc_000004,complete_taste_profile,False,
acc_000004,save_first_recipe,True,2022-08-11 00:00:00
acc_000004,create_first_meal_plan,True,2022-08-02 00:00:00
acc_000004,generate_grocery_list,False,
acc_000004,invite_family_member,False,
acc_000005,complete_taste_profile,False,
acc_000005,save_first_recipe,True,2022-12-31 00:00:00
acc_000005,create_first_meal_plan,False,
acc_000005,generate_grocery_list,True,2022-12-29 00:00:00
acc_000005,invite_family_member,True,2023-01-05 00:00:00
acc_000006,complete_taste_profile,False,
acc_000006,save_first_recipe,False,
acc_000006,create_first_meal_plan,False,
acc_000006,generate_grocery_list,True,2024-02-21 00:00:00
acc_000006,invite_family_member,True,2024-02-24 00:00:00
acc_000007,complete_taste_profile,True,2022-07-04 00:00:00
acc_000007,save_first_recipe,True,2022-06-23 00:00:00
acc_000007,create_first_meal_plan,False,
acc_000007,generate_grocery_list,True,2022-06-30 00:00:00
acc_000007,invite_family_member,False,
acc_000008,complete_taste_profile,False,
acc_000008,save_first_recipe,True,2022-08-17 00:00:00
acc_000008,create_first_meal_plan,True,2022-08-13 00:00:00
acc_000008,generate_grocery_list,True,2022-08-04 00:00:00
acc_000008,invite_family_member,False,
acc_000009,complete_taste_profile,True,2023-09-16 00:00:00
acc_000009,save_first_recipe,True,2023-09-24 00:00:00
acc_000009,create_first_meal_plan,True,2023-09-20 00:00:00
acc_000009,generate_grocery_list,False,
acc_000009,invite_family_member,False,
acc_000010,complete_taste_profile,False,
acc_000010,save_first_recipe,False,
acc_000010,create_first_meal_plan,False,
acc_000010,generate_grocery_list,True,2023-10-26 00:00:00
acc_000010,invite_family_member,True,2023-10-24 00:00:00
acc_000011,complete_taste_profile,True,2023-10-16 00:00:00
acc_000011,save_first_recipe,True,2023-10-16 00:00:00
acc_000011,create_first_meal_plan,True,2023-10-15 00:00:00
acc_000011,generate_grocery_list,False,
acc_000011,invite_family_member,False,
